CODMUNRES_str,TOTAL_REGISTROS,STATUS_VALIDACAO,NOME_MUNICIPIO_IBGE
291850,105,Correspondência Exata,Jussara
351490,105,Correspondência Exata,Elias Fausto
290300,104,Correspondência Exata,Barra Do Mendes
353500,104,Correspondência Exata,Palestina
290200,104,Correspondência Exata,Aracatu
355610,103,Correspondência Exata,Valentim Gentil
351700,103,Correspondência Exata,Getulina
290040,103,Correspondência Exata,Água Fria
354995,103,Correspondência Exata,São Lourenço Da Serra
354540,103,Correspondência Exata,Salto Grande
421690,103,Correspondência Exata,São Lourenço Do Oeste
420205,103,Correspondência Exata,Balneário Barra Do Sul
355470,102,Correspondência Exata,Torrinha
292335,102,Correspondência Exata,Ourolândia
291830,102,Correspondência Exata,Jitaúna
420630,102,Correspondência Exata,Guabiruba
420330,102,Correspondência Exata,Campo Alegre
420620,101,Correspondência Exata,Gravatal
290485,101,Correspondência Exata,Cabaceiras Do Paraguaçu
351940,101,Correspondência Exata,Ibirá
420470,101,Correspondência Exata,Cunha Porã
351515,101,Correspondência Exata,Engenheiro Coelho
355080,101,Correspondência Exata,São Sebastião Da Grama
293305,101,Correspondência Exata,Várzea Da Roça
291820,100,Correspondência Exata,Jiquiriçá
291010,100,Correspondência Exata,Dom Basílio
291340,100,Correspondência Exata,Igaporã
353520,100,Correspondência Exata,Palmeira D'oeste
291075,100,Correspondência Exata,Fátima
351170,99,Correspondência Exata,Charqueada
354170,99,Correspondência Exata,Quatá
351130,99,Correspondência Exata,Cedral
292680,99,Correspondência Exata,Rio Do Antônio
291680,99,Correspondência Exata,Itarantim
355580,99,Correspondência Exata,Urânia
292610,98,Correspondência Exata,Retirolândia
292265,98,Correspondência Exata,Nordestina
350680,98,Correspondência Exata,Bocaina
291780,98,Correspondência Exata,Jaguaripe
421670,97,Correspondência Exata,São José Do Cedro
290035,97,Correspondência Exata,Adustina
420710,97,Correspondência Exata,Ilhota
351480,97,Correspondência Exata,Eldorado
292405,97,Correspondência Exata,Pé De Serra
350690,97,Correspondência Exata,Bofete
290682,96,Correspondência Exata,Canudos
420600,96,Correspondência Exata,Governador Celso Ramos
290910,96,Correspondência Exata,Coribe
292140,96,Correspondência Exata,Mirangaba
292450,96,Correspondência Exata,Pindaí
292020,96,Correspondência Exata,Malhada
292090,96,Correspondência Exata,Mascote
290030,96,Correspondência Exata,Acajutiba
291690,95,Correspondência Exata,Itiruçu
420500,95,Correspondência Exata,Dionísio Cerqueira
355660,95,Correspondência Exata,Vera Cruz
421750,94,Correspondência Exata,Seara
351905,94,Correspondência Exata,Holambra
352360,94,Correspondência Exata,Itirapina
421760,94,Correspondência Exata,Siderópolis
351850,94,Correspondência Exata,Guareí
291510,93,Correspondência Exata,Itagi
290540,93,Correspondência Exata,Cairu
353250,93,Correspondência Exata,Neves Paulista
352810,93,Correspondência Exata,Macaubal
420530,93,Correspondência Exata,Faxinal Dos Guedes
353600,93,Correspondência Exata,Parapuã
353200,92,Correspondência Exata,Morungaba
421460,92,Correspondência Exata,Rio Do Oeste
292270,92,Correspondência Exata,Nova Canaã
421890,92,Correspondência Exata,Urubici
420580,91,Correspondência Exata,Garuva
290430,91,Correspondência Exata,Brejões
293130,91,Correspondência Exata,Tapiramutá
354050,91,Correspondência Exata,Porangaba
350480,91,Correspondência Exata,Bálsamo
292070,90,Correspondência Exata,Maraú
421160,90,Correspondência Exata,Nova Veneza
421150,90,Correspondência Exata,Nova Trento
420840,89,Correspondência Exata,Itapiranga
292830,89,Correspondência Exata,Santanópolis
351410,89,Correspondência Exata,Dois Córregos
352130,89,Correspondência Exata,Ipuã
351900,89,Correspondência Exata,Herculândia
291000,89,Correspondência Exata,Dário Meira
292570,89,Correspondência Exata,Presidente Jânio Quadros
290140,88,Correspondência Exata,Angical
290160,88,Correspondência Exata,Antas
355180,88,Correspondência Exata,Sete Barras
351790,88,Correspondência Exata,Guaraci
290475,88,Correspondência Exata,Buritirama
293315,88,Correspondência Exata,Várzea Nova
355000,88,Correspondência Exata,São Luiz Do Paraitinga
350670,87,Correspondência Exata,Boa Esperança Do Sul
292970,87,Correspondência Exata,Sátiro Dias
352800,87,Correspondência Exata,Macatuba
351990,87,Correspondência Exata,Iepê
351910,87,Correspondência Exata,Iacanga
290240,87,Correspondência Exata,Aurelino Leal
290400,87,Correspondência Exata,Boninal
290020,87,Correspondência Exata,Abaré
292760,87,Correspondência Exata,Santa Brígida
293260,87,Correspondência Exata,Urandi
420870,87,Correspondência Exata,Jacinto Machado
355140,86,Correspondência Exata,Serra Azul
290685,86,Correspondência Exata,Capela Do Alto Alegre
290170,86,Correspondência Exata,Antônio Cardoso
291140,86,Correspondência Exata,Glória
290970,86,Correspondência Exata,Cristópolis
292980,86,Correspondência Exata,Saúde
351780,86,Correspondência Exata,Guaraçaí
290420,86,Correspondência Exata,Botuporã
350340,85,Correspondência Exata,Arealva
352980,85,Correspondência Exata,Mineiros Do Tietê
292465,85,Correspondência Exata,Pintadas
292805,85,Correspondência Exata,Santa Luzia
421880,85,Correspondência Exata,Turvo
351290,85,Correspondência Exata,Cosmorama
290660,85,Correspondência Exata,Candiba
420970,84,Correspondência Exata,Lebon Régis
290130,84,Correspondência Exata,Andaraí
292040,84,Correspondência Exata,Manoel Vitorino
292900,84,Correspondência Exata,São Félix
292790,84,Correspondência Exata,Santa Inês
353940,84,Correspondência Exata,Piratininga
354430,83,Correspondência Exata,Roseira
421680,83,Correspondência Exata,São José Do Cerrito
420990,83,Correspondência Exata,Lontras
354290,82,Correspondência Exata,Ribeirão Bonito
420220,82,Correspondência Exata,Benedito Novo
292730,82,Correspondência Exata,Salinas Da Margarida
350040,82,Correspondência Exata,Águas Da Prata
352020,82,Correspondência Exata,Igaratá
420370,82,Correspondência Exata,Canelinha
354570,82,Correspondência Exata,Santa Albertina
290940,81,Correspondência Exata,Cotegipe
290205,81,Correspondência Exata,Araçás
291500,81,Correspondência Exata,Itaeté
353475,81,Correspondência Exata,Ouroeste
354370,81,Correspondência Exata,Rincão
291940,80,Correspondência Exata,Licínio De Almeida
355730,80,Correspondência Exata,Estiva Gerbi
290550,80,Correspondência Exata,Caldeirão Grande
354210,80,Correspondência Exata,Rafard
421470,80,Correspondência Exata,Rio Dos Cedros
420790,80,Correspondência Exata,Irineópolis
353290,80,Correspondência Exata,Nova Europa
291620,79,Correspondência Exata,Itapé
291100,79,Correspondência Exata,Floresta Azul
292975,78,Correspondência Exata,Saubara
350360,78,Correspondência Exata,Areiópolis
351660,78,Correspondência Exata,Gália
290327,78,Correspondência Exata,Barrocas
291875,78,Correspondência Exata,Lagoa Real
290689,78,Correspondência Exata,Caraíbas
291630,78,Correspondência Exata,Itapebi
291200,78,Correspondência Exata,Ibiassucê
293170,78,Correspondência Exata,Terra Nova
354190,78,Correspondência Exata,Queluz
291130,77,Correspondência Exata,Gentio Do Ouro
291185,77,Correspondência Exata,Heliópolis
292905,77,Correspondência Exata,São Félix Do Coribe
290150,76,Correspondência Exata,Anguera
291860,76,Correspondência Exata,Jussiape
420125,76,Correspondência Exata,Apiúna
353510,76,Correspondência Exata,Palmares Paulista
292650,76,Correspondência Exata,Ribeira Do Amparo
420440,76,Correspondência Exata,Coronel Freitas
292180,76,Correspondência Exata,Mortugaba
352860,76,Correspondência Exata,Manduri
412820,75,Correspondência Exata,União Da Vitória
290180,75,Correspondência Exata,Antônio Gonçalves
290265,75,Correspondência Exata,Banzaê
421110,75,Correspondência Exata,Monte Castelo
351430,74,Correspondência Exata,Dourado
292205,74,Correspondência Exata,Mulungu Do Morro
352760,74,Correspondência Exata,Luís Antônio
420490,74,Correspondência Exata,Descanso
351950,74,Correspondência Exata,Ibirarema
291030,74,Correspondência Exata,Elísio Medrado
290395,74,Correspondência Exata,Bom Jesus Da Serra
410690,74,Correspondência Exata,Curitiba
355300,74,Correspondência Exata,Taguaí
291430,73,Correspondência Exata,Iramaia
421265,73,Correspondência Exata,Pescaria Brava
353720,73,Correspondência Exata,Pedro De Toledo
291960,73,Correspondência Exata,Macajuba
351535,73,Correspondência Exata,Euclides Da Cunha Paulista
352950,73,Correspondência Exata,Mendonça
355110,73,Correspondência Exata,Sarapuí
292390,72,Correspondência Exata,Pau Brasil
355440,72,Correspondência Exata,Terra Roxa
421420,72,Correspondência Exata,Quilombo
292303,72,Correspondência Exata,Novo Horizonte
293076,72,Correspondência Exata,Sítio Do Quinto
290450,72,Correspondência Exata,Brotas De Macaúbas
291345,72,Correspondência Exata,Igrapiúna
351520,72,Correspondência Exata,Estrela D'oeste
354460,71,Correspondência Exata,Sabino
291670,71,Correspondência Exata,Itaquara
420400,71,Correspondência Exata,Catanduvas
290050,71,Correspondência Exata,Érico Cardoso
292940,71,Correspondência Exata,São Miguel Das Matas
352380,71,Correspondência Exata,Itobi
421565,71,Correspondência Exata,Santa Rosa Do Sul
354420,70,Correspondência Exata,Riolândia
351885,70,Correspondência Exata,Guatapará
293120,70,Correspondência Exata,Taperoá
420170,70,Correspondência Exata,Ascurra
290640,70,Correspondência Exata,Candeal
354860,69,Correspondência Exata,São Bento Do Sapucaí
421000,69,Correspondência Exata,Luiz Alves
290900,69,Correspondência Exata,Cordeiros
355230,69,Correspondência Exata,Sud Mennucci
353660,69,Correspondência Exata,Paulo De Faria
291905,69,Correspondência Exata,Lajedo Do Tabocal
420640,68,Correspondência Exata,Guaraciaba
350055,68,Correspondência Exata,Águas De Santa Bárbara
420350,68,Correspondência Exata,Campo Erê
350640,68,Correspondência Exata,Bilac
353230,67,Correspondência Exata,Natividade Da Serra
421700,67,Correspondência Exata,São Ludgero
291733,67,Correspondência Exata,Iuiu
293110,67,Correspondência Exata,Tanquinho
290010,67,Correspondência Exata,Abaíra
421105,67,Correspondência Exata,Monte Carlo
292190,67,Correspondência Exata,Mucugê
290330,66,Correspondência Exata,Barro Preto
293340,66,Correspondência Exata,Wagner
352160,66,Correspondência Exata,Irapuru
290220,66,Correspondência Exata,Aramari
353410,65,Correspondência Exata,Oriente
292540,65,Correspondência Exata,Potiraguá
421100,65,Correspondência Exata,Mondaí
354200,65,Correspondência Exata,Quintana
421530,65,Correspondência Exata,Salete
421200,65,Correspondência Exata,Palma Sola
353640,65,Correspondência Exata,Paulicéia
290250,65,Correspondência Exata,Baianópolis
354515,65,Correspondência Exata,Saltinho
352150,65,Correspondência Exata,Irapuã
420120,65,Correspondência Exata,Antônio Carlos
420770,64,Correspondência Exata,Ipumirim
291280,64,Correspondência Exata,Ibirapuã
421380,64,Correspondência Exata,Praia Grande
421600,64,Correspondência Exata,São Carlos
355320,64,Correspondência Exata,Taiúva
351925,64,Correspondência Exata,Iaras
421080,64,Correspondência Exata,Meleiro
291995,63,Correspondência Exata,Maetinga
291570,63,Correspondência Exata,Itamari
420020,63,Correspondência Exata,Agrolândia
312710,63,Correspondência Exata,Frutal
290405,63,Correspondência Exata,Bonito
420070,63,Correspondência Exata,Alfredo Wagner
350930,63,Correspondência Exata,Cajobi
421730,63,Correspondência Exata,Saudades
293160,63,Correspondência Exata,Teolândia
292260,62,Correspondência Exata,Nilo Peçanha
421790,62,Correspondência Exata,Tangará
420060,62,Correspondência Exata,Águas Mornas
351190,62,Correspondência Exata,Clementina
421610,62,Correspondência Exata,São Domingos
351120,62,Correspondência Exata,Catiguá
351470,61,Correspondência Exata,Echaporã
354325,61,Correspondência Exata,Ribeirão Grande
421180,61,Correspondência Exata,Ouro
353480,61,Correspondência Exata,Ouro Verde
420780,61,Correspondência Exata,Irani
421860,61,Correspondência Exata,Trombudo Central
351920,61,Correspondência Exata,Iacri
292410,60,Correspondência Exata,Pedrão
292690,60,Correspondência Exata,Rio Do Pires
293000,60,Correspondência Exata,Sebastião Laranjeiras
293345,60,Correspondência Exata,Wanderley
352450,60,Correspondência Exata,Jaci
292895,60,Correspondência Exata,São Domingos
420765,60,Correspondência Exata,Iporã Do Oeste
355350,60,Correspondência Exata,Tapiraí
291165,60,Correspondência Exata,Guajeru
293317,60,Correspondência Exata,Varzedo
291535,60,Correspondência Exata,Itaguaçu Da Bahia
292593,60,Correspondência Exata,Quixabeira
420260,60,Correspondência Exata,Bom Retiro
353282,60,Correspondência Exata,Nova Campina
292850,59,Correspondência Exata,Santa Terezinha
290225,59,Correspondência Exata,Arataca
352420,59,Correspondência Exata,Jaborandi
421640,59,Correspondência Exata,São João Do Sul
291855,59,Correspondência Exata,Jussari
421340,59,Correspondência Exata,Ponte Serrada
355390,59,Correspondência Exata,Tarabai
355490,59,Correspondência Exata,Três Fronteiras
354805,59,Correspondência Exata,Santo Antônio Do Aracanguá
421625,59,Correspondência Exata,São João Do Oeste
290510,58,Correspondência Exata,Caém
420040,58,Correspondência Exata,Água Doce
293140,58,Correspondência Exata,Teodoro Sampaio
351400,58,Correspondência Exata,Dobrada
291530,58,Correspondência Exata,Itagimirim
420100,58,Correspondência Exata,Anita Garibaldi
293060,58,Correspondência Exata,Serrolândia
290610,58,Correspondência Exata,Canápolis
353360,58,Correspondência Exata,Nuporanga
290770,58,Correspondência Exata,Chorrochó
354480,58,Correspondência Exata,Sales
290515,57,Correspondência Exata,Caetanos
292937,57,Correspondência Exata,São José Do Jacuípe
290755,57,Correspondência Exata,Caturama
353570,57,Correspondência Exata,Paraíso
421545,57,Correspondência Exata,Sangão
292105,57,Correspondência Exata,Matina
292330,57,Correspondência Exata,Ouriçangas
292273,56,Correspondência Exata,Nova Fátima
351560,56,Correspondência Exata,Fernando Prestes
421450,56,Correspondência Exata,Rio Do Campo
351320,56,Correspondência Exata,Cristais Paulista
420610,56,Correspondência Exata,Grão-Pará
292470,56,Correspondência Exata,Piripá
292000,55,Correspondência Exata,Maiquinique
355050,55,Correspondência Exata,São Pedro Do Turvo
421840,55,Correspondência Exata,Treze De Maio
350310,55,Correspondência Exata,Arandu
292160,55,Correspondência Exata,Morpará
291930,55,Correspondência Exata,Lençóis
291735,55,Correspondência Exata,Jaborandi
293325,55,Correspondência Exata,Vereda
292080,55,Correspondência Exata,Marcionílio Souza
354820,55,Correspondência Exata,Santo Antônio Do Pinhal
421003,55,Correspondência Exata,Luzerna
351210,55,Correspondência Exata,Colômbia
352700,54,Correspondência Exata,Lindóia
354810,54,Correspondência Exata,Santo Antônio Do Jardim
352630,54,Correspondência Exata,Lagoinha
353280,54,Correspondência Exata,Nova Aliança
291330,54,Correspondência Exata,Ichu
293310,54,Correspondência Exata,Várzea Do Poço
292490,54,Correspondência Exata,Planaltino
293090,54,Correspondência Exata,Tabocas Do Brejo Velho
354650,54,Correspondência Exata,Santa Ernestina
350370,54,Correspondência Exata,Ariranha
350180,54,Correspondência Exata,Américo De Campos
353990,53,Correspondência Exata,Poloni
292305,53,Correspondência Exata,Novo Triunfo
351730,53,Correspondência Exata,Guaimbê
290195,53,Correspondência Exata,Apuarema
292120,53,Correspondência Exata,Miguel Calmon
351810,53,Correspondência Exata,Guarantã
355690,53,Correspondência Exata,Vista Alegre Do Alto
353750,53,Correspondência Exata,Pereiras
350535,53,Correspondência Exata,Barra Do Chapéu
352660,53,Correspondência Exata,Lavrinhas
351015,53,Correspondência Exata,Canitar
420768,53,Correspondência Exata,Ipuaçu
350240,52,Correspondência Exata,Anhumas
292030,52,Correspondência Exata,Malhada De Pedras
330455,52,Correspondência Exata,Rio De Janeiro
355495,52,Correspondência Exata,Tuiuti
421030,52,Correspondência Exata,Major Vieira
350260,52,Correspondência Exata,Aparecida D'oeste
292285,52,Correspondência Exata,Nova Redenção
292710,52,Correspondência Exata,Rodelas
350230,52,Correspondência Exata,Anhembi
421850,52,Correspondência Exata,Treze Tílias
421567,52,Correspondência Exata,Santa Terezinha
292780,52,Correspondência Exata,Santa Cruz Da Vitória
290700,51,Correspondência Exata,Cardeal Da Silva
291420,51,Correspondência Exata,Irajuba
354790,51,Correspondência Exata,Santo Antônio Da Alegria
421270,51,Correspondência Exata,Petrolândia
421225,51,Correspondência Exata,Passo De Torres
354510,51,Correspondência Exata,Salmourão
353680,51,Correspondência Exata,Pedra Bela
352770,51,Correspondência Exata,Luiziânia
354320,50,Correspondência Exata,Ribeirão Do Sul
420800,50,Correspondência Exata,Itá
355635,50,Correspondência Exata,Vargem
353120,50,Correspondência Exata,Monte Alegre Do Sul
420915,50,Correspondência Exata,José Boiteux
353370,50,Correspondência Exata,Ocauçu
293075,50,Correspondência Exata,Sítio Do Mato
420090,50,Correspondência Exata,Angelina
353160,50,Correspondência Exata,Monte Castelo
355310,50,Correspondência Exata,Taiaçu
354105,50,Correspondência Exata,Pratânia
350510,50,Correspondência Exata,Barbosa
354250,49,Correspondência Exata,Reginópolis
290920,49,Correspondência Exata,Coronel João Sá
353610,49,Correspondência Exata,Pardinho
351460,49,Correspondência Exata,Dumont
292350,49,Correspondência Exata,Palmeiras
350490,49,Correspondência Exata,Bananal
352650,49,Correspondência Exata,Lavínia
292225,49,Correspondência Exata,Muquém Do São Francisco
420150,48,Correspondência Exata,Armazém
350350,48,Correspondência Exata,Areias
420520,48,Correspondência Exata,Erval Velho
291845,48,Correspondência Exata,Jucuruçu
355200,48,Correspondência Exata,Silveiras
292280,47,Correspondência Exata,Nova Itarana
354950,47,Correspondência Exata,São José Da Bela Vista
353960,47,Correspondência Exata,Planalto
354700,47,Correspondência Exata,Santa Maria Da Serra
352115,47,Correspondência Exata,Ipiguá
291660,47,Correspondência Exata,Itapitanga
354040,47,Correspondência Exata,Populina
353220,47,Correspondência Exata,Narandiba
355420,47,Correspondência Exata,Tejupá
292665,46,Correspondência Exata,Ribeirão Do Largo
420050,46,Correspondência Exata,Águas De Chapecó
313440,46,Correspondência Exata,Iturama
352580,46,Correspondência Exata,Júlio Mesquita
421725,46,Correspondência Exata,São Pedro De Alcântara
290230,46,Correspondência Exata,Aratuípe
420310,46,Correspondência Exata,Caibi
354690,46,Correspondência Exata,Santa Lúcia
353205,46,Correspondência Exata,Motuca
420950,46,Correspondência Exata,Laurentino
421810,45,Correspondência Exata,Timbé Do Sul
354360,45,Correspondência Exata,Rifaina
355550,45,Correspondência Exata,Ubirajara
350820,45,Correspondência Exata,Buritizal
420740,45,Correspondência Exata,Imbuia
421230,45,Correspondência Exata,Paulo Lopes
421605,45,Correspondência Exata,São Cristóvão Do Sul
420860,44,Correspondência Exata,Jaborá
352060,44,Correspondência Exata,Indiana
351890,44,Correspondência Exata,Guzolândia
351250,44,Correspondência Exata,Coroados
355535,43,Correspondência Exata,Ubarana
291890,43,Correspondência Exata,Lajedão
350830,43,Correspondência Exata,Cabrália Paulista
350770,43,Correspondência Exata,Braúna
290090,43,Correspondência Exata,Almadina
290480,43,Correspondência Exata,Caatiba
291990,43,Correspondência Exata,Macururé
355120,43,Correspondência Exata,Sarutaiá
354350,42,Correspondência Exata,Riversul
352490,42,Correspondência Exata,Jambeiro
292220,42,Correspondência Exata,Muniz Ferreira
292467,42,Correspondência Exata,Piraí Do Norte
352820,42,Correspondência Exata,Macedônia
291590,42,Correspondência Exata,Itanagra
291910,42,Correspondência Exata,Lamarão
353210,42,Correspondência Exata,Murutinga Do Sul
351710,42,Correspondência Exata,Glicério
350020,42,Correspondência Exata,Adolfo
351980,42,Correspondência Exata,Icém
290880,42,Correspondência Exata,Contendas Do Sincorá
350080,42,Correspondência Exata,Alfredo Marcondes
292275,41,Correspondência Exata,Nova Ibiá
350730,41,Correspondência Exata,Boracéia
291020,41,Correspondência Exata,Dom Macedo Costa
350060,40,Correspondência Exata,Águas De São Pedro
421710,40,Correspondência Exata,São Martinho
421440,40,Correspondência Exata,Rio Das Antas
291540,40,Correspondência Exata,Itaju Do Colônia
530010,40,Correspondência Exata,Brasília
352200,40,Correspondência Exata,Itaju
350075,40,Correspondência Exata,Alambari
353270,40,Correspondência Exata,Nipoã
292935,40,Correspondência Exata,São José Da Vitória
352370,40,Correspondência Exata,Itirapuã
500270,40,Correspondência Exata,Campo Grande
421240,40,Correspondência Exata,Pedras Grandes
420030,40,Correspondência Exata,Agronômica
350110,40,Correspondência Exata,Alto Alegre
421540,40,Correspondência Exata,Salto Veloso
350945,40,Correspondência Exata,Campina Do Monte Alegre
350430,40,Correspondência Exata,Avaí
292145,40,Correspondência Exata,Mirante
420760,39,Correspondência Exata,Ipira
350300,39,Correspondência Exata,Aramina
293245,39,Correspondência Exata,Umburanas
420340,39,Correspondência Exata,Campo Belo Do Sul
291090,39,Correspondência Exata,Firmino Alves
420190,39,Correspondência Exata,Aurora
421223,39,Correspondência Exata,Paraíso
420985,39,Correspondência Exata,Lindóia Do Sul
354620,39,Correspondência Exata,Santa Cruz Da Conceição
420160,39,Correspondência Exata,Arroio Trinta
353770,39,Correspondência Exata,Piacatu
421507,38,Correspondência Exata,Riqueza
420515,38,Correspondência Exata,Doutor Pedrinho
410260,38,Correspondência Exata,Barracão
310620,38,Correspondência Exata,Belo Horizonte
354270,38,Correspondência Exata,Restinga
291870,38,Correspondência Exata,Lafaiete Coutinho
350120,38,Correspondência Exata,Álvares Florence
421490,38,Correspondência Exata,Rio Fortuna
421140,38,Correspondência Exata,Nova Erechim
421040,38,Correspondência Exata,Maracajá
420680,37,Correspondência Exata,Ibicaré
290950,37,Correspondência Exata,Cravolândia
292045,37,Correspondência Exata,Mansidão
352830,37,Correspondência Exata,Magda
421875,37,Correspondência Exata,Tunápolis
420080,37,Correspondência Exata,Anchieta
421535,36,Correspondência Exata,Saltinho
353400,36,Correspondência Exata,Onda Verde
350995,36,Correspondência Exata,Canas
355290,36,Correspondência Exata,Taciba
350980,36,Correspondência Exata,Campos Novos Paulista
353450,36,Correspondência Exata,Oscar Bressane
421635,35,Correspondência Exata,São João Do Itaperiú
420435,35,Correspondência Exata,Cordilheira Alta
354450,35,Correspondência Exata,Rubinéia
354165,35,Correspondência Exata,Quadra
354180,35,Correspondência Exata,Queiroz
420660,35,Correspondência Exata,Guarujá Do Sul
421330,35,Correspondência Exata,Ponte Alta
421310,35,Correspondência Exata,Piratuba
290310,35,Correspondência Exata,Barra Do Rocha
355465,35,Correspondência Exata,Torre De Pedra
352725,35,Correspondência Exata,Lourdes
290060,35,Correspondência Exata,Aiquara
354110,35,Correspondência Exata,Presidente Alves
431490,35,Correspondência Exata,Porto Alegre
352560,34,Correspondência Exata,João Ramalho
291077,34,Correspondência Exata,Feira Da Mata
421935,34,Correspondência Exata,Vitor Meireles
354310,34,Correspondência Exata,Ribeirão Corrente
353040,34,Correspondência Exata,Mirassolândia
420213,34,Correspondência Exata,Bela Vista Do Toldo
352215,34,Correspondência Exata,Itaoca
353420,34,Correspondência Exata,Orindiúva
355460,34,Correspondência Exata,Timburi
353000,34,Correspondência Exata,Mira Estrela
292420,34,Correspondência Exata,Pedro Alexandre
352080,34,Correspondência Exata,Inúbia Paulista
355385,34,Correspondência Exata,Taquarivaí
421590,34,Correspondência Exata,São Bonifácio
350500,33,Correspondência Exata,Barão De Antonina
291900,33,Correspondência Exata,Lajedinho
420665,33,Correspondência Exata,Guatambú
350140,33,Correspondência Exata,Álvaro De Carvalho
354550,33,Correspondência Exata,Sandovalina
353590,33,Correspondência Exata,Paranapuã
352070,33,Correspondência Exata,Indiaporã
420775,32,Correspondência Exata,Iraceminha
317020,32,Correspondência Exata,Uberlândia
352110,32,Correspondência Exata,Ipeúna
412230,32,Correspondência Exata,Rio Negro
421070,31,Correspondência Exata,Matos Costa
421825,31,Correspondência Exata,Timbó Grande
351090,31,Correspondência Exata,Cássia Dos Coqueiros
352890,31,Correspondência Exata,Mariápolis
351492,31,Correspondência Exata,Elisiário
351260,31,Correspondência Exata,Coronel Macedo
353325,31,Correspondência Exata,Novais
420285,31,Correspondência Exata,Braço Do Trombudo
351680,31,Correspondência Exata,Gastão Vidigal
421775,30,Correspondência Exata,Sul Brasil
350910,30,Correspondência Exata,Caiuá
291790,30,Correspondência Exata,Jandaíra
352960,30,Correspondência Exata,Meridiano
421520,30,Correspondência Exata,Romelândia
290440,30,Correspondência Exata,Brejolândia
421915,30,Correspondência Exata,Vargem
421145,30,Correspondência Exata,Nova Itaberaba
421020,30,Correspondência Exata,Major Gercino
421260,29,Correspondência Exata,Peritiba
350200,29,Correspondência Exata,Analândia
420208,29,Correspondência Exata,Bandeirante
354230,29,Correspondência Exata,Redenção Da Serra
353320,29,Correspondência Exata,Nova Independência
351420,28,Correspondência Exata,Dolcinópolis
420555,28,Correspondência Exata,Frei Rogério
291150,28,Correspondência Exata,Gongogi
351610,28,Correspondência Exata,Florínea
350090,28,Correspondência Exata,Altair
350540,28,Correspondência Exata,Barra Do Turvo
353170,28,Correspondência Exata,Monteiro Lobato
351512,28,Correspondência Exata,Emilianópolis
521880,28,Correspondência Exata,Rio Verde
354010,28,Correspondência Exata,Pongaí
350715,28,Correspondência Exata,Bom Sucesso De Itararé
352780,28,Correspondência Exata,Lupércio
353380,28,Correspondência Exata,Óleo
421125,27,Correspondência Exata,Morro Grande
354025,27,Correspondência Exata,Pontalinda
352870,27,Correspondência Exata,Marabá Paulista
354740,27,Correspondência Exata,Santa Rita D'oeste
421960,27,Correspondência Exata,Xavantina
420180,27,Correspondência Exata,Atalanta
354920,27,Correspondência Exata,São João Das Duas Pontes
421920,27,Correspondência Exata,Vidal Ramos
420243,27,Correspondência Exata,Bocaina Do Sul
291410,27,Correspondência Exata,Ipupiara
354440,27,Correspondência Exata,Rubiácea
352885,27,Correspondência Exata,Marapoama
352540,27,Correspondência Exata,Jeriquara
354960,27,Correspondência Exata,São José Do Barreiro
420510,27,Correspondência Exata,Dona Emma
420410,27,Correspondência Exata,Caxambu Do Sul
354280,27,Correspondência Exata,Ribeira
421985,27,Correspondência Exata,Zortéa
352300,27,Correspondência Exata,Itapura
350890,27,Correspondência Exata,Caiabu
355130,27,Correspondência Exata,Sebastianópolis Do Sul
420005,26,Correspondência Exata,Abdon Batista
420127,26,Correspondência Exata,Arabutã
421315,26,Correspondência Exata,Planalto Alegre
130260,26,Correspondência Exata,Manaus
351685,26,Correspondência Exata,Gavião Peixoto
355255,26,Correspondência Exata,Suzanápolis
420757,26,Correspondência Exata,Iomerê
354610,26,Correspondência Exata,Santa Clara D'oeste
421189,26,Correspondência Exata,Painel
411370,26,Correspondência Exata,Londrina
354710,26,Correspondência Exata,Santa Mercedes
420287,26,Correspondência Exata,Brunópolis
350620,26,Correspondência Exata,Bento De Abreu
353690,26,Correspondência Exata,Pedranópolis
421910,26,Correspondência Exata,Vargeão
421940,26,Correspondência Exata,Witmarsum
354930,26,Correspondência Exata,São João Do Pau D'alho
350150,26,Correspondência Exata,Alvinlândia
520870,26,Correspondência Exata,Goiânia
351590,26,Correspondência Exata,Floreal
420110,26,Correspondência Exata,Anitápolis
420250,25,Correspondência Exata,Bom Jardim Da Serra
317010,25,Correspondência Exata,Uberaba
351010,25,Correspondência Exata,Cândido Rodrigues
316540,25,Correspondência Exata,Sapucaí-Mirim
312510,25,Correspondência Exata,Extrema
290740,25,Correspondência Exata,Catolândia
312700,25,Correspondência Exata,Fronteira
350315,25,Correspondência Exata,Arapeí
355520,25,Correspondência Exata,Turiúba
421568,25,Correspondência Exata,Santa Terezinha Do Progresso
354830,25,Correspondência Exata,Santo Expedito
354470,25,Correspondência Exata,Sagres
351650,25,Correspondência Exata,Gabriel Monteiro
420417,24,Correspondência Exata,Cerro Negro
351495,24,Correspondência Exata,Embaúba
421415,24,Correspondência Exata,Princesa
353830,24,Correspondência Exata,Piquerobi
351800,24,Correspondência Exata,Guarani D'oeste
421085,24,Correspondência Exata,Mirim Doce
355365,24,Correspondência Exata,Taquaral
421205,23,Correspondência Exata,Palmeira
353657,23,Correspondência Exata,Paulistânia
420415,23,Correspondência Exata,Celso Ramos
421090,23,Correspondência Exata,Modelo
315180,23,Correspondência Exata,Poços De Caldas
420270,23,Correspondência Exata,Botuverá
