Dimensao,UF,Categoria,Frequencia_Absoluta,Proporcao_Percentual
Causa_Morte,BAHIA,Malformações congênitas do aparelho urinário,36,0.04
Causa_Morte,BAHIA,Malformações congênitas do sistema nervoso,114,0.12
Causa_Morte,BAHIA,Malformações congênitas dos órgãos genitais,1,0.0
Causa_Morte,BAHIA,Malformações e deformidades congênitas do sistema osteomuscular,50,0.05
Causa_Morte,BAHIA,Micoses,18,0.02
Causa_Morte,BAHIA,Neoplasias [tumores] benignas(os),55,0.06
Causa_Morte,BAHIA,Neoplasias [tumores] de comportamento incerto ou desconhecido,208,0.21
Causa_Morte,BAHIA,Neoplasias [tumores] in situ,10,0.01
Causa_Morte,BAHIA,Neoplasias [tumores] malignas(os),13813,14.1
Causa_Morte,BAHIA,Obesidade e outras formas de hiperalimentação,181,0.18
Causa_Morte,BAHIA,Osteopatias e condropatias,59,0.06
Causa_Morte,BAHIA,Outras afecções da pele e do tecido subcutâneo,335,0.34
Causa_Morte,BAHIA,Outras afecções obstétricas não classificadas em outra parte,31,0.03
Causa_Morte,BAHIA,Outras deficiências nutricionais,13,0.01
Causa_Morte,BAHIA,Outras doenças bacterianas,1857,1.9
Causa_Morte,BAHIA,Outras doenças da pleura,110,0.11
Causa_Morte,BAHIA,Outras doenças das vias aéreas superiores,25,0.03
Causa_Morte,BAHIA,Outras doenças degenerativas do sistema nervoso,1291,1.32
Causa_Morte,BAHIA,Outras doenças do aparelho digestivo,801,0.82
Causa_Morte,BAHIA,Outras doenças do aparelho respiratório,1286,1.31
Causa_Morte,BAHIA,Outras doenças do aparelho urinário,996,1.02
Causa_Morte,BAHIA,Outras doenças do sangue e dos órgãos hematopoéticos,56,0.06
Causa_Morte,BAHIA,Outras doenças dos intestinos,807,0.82
Causa_Morte,BAHIA,Outras doenças infecciosas,2,0.0
Causa_Morte,BAHIA,Outras doenças por espiroquetas,1,0.0
Causa_Morte,BAHIA,Outras doenças por vírus,397,0.41
Causa_Morte,BAHIA,Outras doenças respiratórias que afetam principalmente o interstício,258,0.26
Causa_Morte,BAHIA,Outras formas de doença do coração,3641,3.72
Causa_Morte,BAHIA,Outras infecções agudas das vias aéreas inferiores,423,0.43
Causa_Morte,BAHIA,Outras malformações congênitas,116,0.12
Causa_Morte,BAHIA,Outras malformações congênitas do aparelho digestivo,40,0.04
Causa_Morte,BAHIA,Outros transtornos da regulação da glicose e da secreção pancreática interna,57,0.06
Causa_Morte,BAHIA,Outros transtornos do olho e anexos,1,0.0
Causa_Morte,BAHIA,Outros transtornos do rim e do ureter,28,0.03
Causa_Morte,BAHIA,Outros transtornos do sistema nervoso,250,0.26
Causa_Morte,BAHIA,Outros transtornos maternos relacionados predominantemente com a gravidez,8,0.01
Causa_Morte,BAHIA,Outros transtornos originados no período perinatal,868,0.89
Causa_Morte,BAHIA,"Outros transtornos, e os não especificados do aparelho circulatório",56,0.06
Causa_Morte,BAHIA,Paralisia cerebral e outras síndromes paralíticas,144,0.15
Causa_Morte,BAHIA,"Pediculose, acaríase e outras infestações",5,0.01
Causa_Morte,BAHIA,Polineuropatias e outros transtornos do sistema nervoso periférico,55,0.06
Causa_Morte,BAHIA,Retardo mental,16,0.02
Causa_Morte,BAHIA,Seqüelas de causas externas de morbidade e de mortalidade,27,0.03
Causa_Morte,BAHIA,Seqüelas de doenças infecciosas e parasitárias,43,0.04
Causa_Morte,BAHIA,Sintomas e sinais gerais,1010,1.03
Causa_Morte,BAHIA,Sintomas e sinais relativos ao aparelho circulatório e respiratório,384,0.39
Causa_Morte,BAHIA,Sintomas e sinais relativos ao aparelho digestivo e ao abdome,89,0.09
Causa_Morte,BAHIA,Sintomas e sinais relativos ao aparelho urinário,1,0.0
Causa_Morte,BAHIA,Sintomas e sinais relativos aos sistemas nervoso e osteomuscular,1,0.0
Causa_Morte,BAHIA,"Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento",3,0.0
Causa_Morte,BAHIA,Sintomas e sinais relativos à pele e ao tecido subcutâneo,3,0.0
Causa_Morte,BAHIA,Transtorno mental não especificado,17,0.02
Causa_Morte,BAHIA,Transtornos da glândula tireóide,39,0.04
Causa_Morte,BAHIA,"Transtornos da pálpebra, do aparelho lacrimal e da órbita",1,0.0
Causa_Morte,BAHIA,"Transtornos da vesícula biliar, das vias biliares e do pâncreas",603,0.62
Causa_Morte,BAHIA,Transtornos de outras glândulas endócrinas,11,0.01
Causa_Morte,BAHIA,Transtornos do aparelho digestivo do feto ou do recém-nascido,75,0.08
Causa_Morte,BAHIA,Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência,1,0.0
Causa_Morte,BAHIA,Transtornos do desenvolvimento psicológico,3,0.0
Causa_Morte,BAHIA,Transtornos do humor [afetivos],69,0.07
Causa_Morte,BAHIA,Transtornos do humor vítreo e do globo ocular,2,0.0
