Dimensao,UF,Categoria,Frequencia_Absoluta,Proporcao_Percentual
Causa_Morte,SÃO PAULO,Doenças da mama,9,0.0
Causa_Morte,SÃO PAULO,"Doenças das artérias, das arteríolas e dos capilares",4861,1.49
Causa_Morte,SÃO PAULO,"Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte",1043,0.32
Causa_Morte,SÃO PAULO,Doenças desmielinizantes do sistema nervoso central,108,0.03
Causa_Morte,SÃO PAULO,Doenças devidas a protozoários,848,0.26
Causa_Morte,SÃO PAULO,Doenças do apêndice,186,0.06
Causa_Morte,SÃO PAULO,"Doenças do esôfago, do estômago e do duodeno",1518,0.47
Causa_Morte,SÃO PAULO,Doenças do fígado,6434,1.98
Causa_Morte,SÃO PAULO,Doenças do ouvido externo,6,0.0
Causa_Morte,SÃO PAULO,Doenças do ouvido interno,5,0.0
Causa_Morte,SÃO PAULO,Doenças do ouvido médio e da mastóide,58,0.02
Causa_Morte,SÃO PAULO,Doenças do peritônio,529,0.16
Causa_Morte,SÃO PAULO,Doenças dos órgãos genitais masculinos,409,0.13
Causa_Morte,SÃO PAULO,Doenças extrapiramidais e transtornos dos movimentos,1318,0.41
Causa_Morte,SÃO PAULO,Doenças glomerulares,892,0.27
Causa_Morte,SÃO PAULO,Doenças hipertensivas,9600,2.95
Causa_Morte,SÃO PAULO,Doenças infecciosas intestinais,1139,0.35
Causa_Morte,SÃO PAULO,Doenças inflamatórias do sistema nervoso central,559,0.17
Causa_Morte,SÃO PAULO,Doenças inflamatórias dos órgãos pélvicos femininos,70,0.02
Causa_Morte,SÃO PAULO,Doenças isquêmicas do coração,31410,9.66
Causa_Morte,SÃO PAULO,Doenças pulmonares devidas a agentes externos,2080,0.64
Causa_Morte,SÃO PAULO,Doenças renais túbulo-intersticiais,845,0.26
Causa_Morte,SÃO PAULO,Doenças reumáticas crônicas do coração,445,0.14
Causa_Morte,SÃO PAULO,Doenças sistêmicas do tecido conjuntivo,363,0.11
Causa_Morte,SÃO PAULO,Dorsopatias,114,0.04
Causa_Morte,SÃO PAULO,"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério",28,0.01
Causa_Morte,SÃO PAULO,Enterites e colites não-infecciosas,232,0.07
Causa_Morte,SÃO PAULO,"Esquizofrenia, transtornos esquizotípicos e transtornos delirantes",169,0.05
Causa_Morte,SÃO PAULO,Eventos (fatos) cuja intenção é indeterminada,4670,1.44
Causa_Morte,SÃO PAULO,Febre reumática aguda,28,0.01
Causa_Morte,SÃO PAULO,Febres por arbovírus e febres hemorrágicas virais,321,0.1
Causa_Morte,SÃO PAULO,Fenda labial e fenda palatina,1,0.0
Causa_Morte,SÃO PAULO,"Feto e recém-nascido afetados por fatores maternos e por complicações da gravidez, do trabalho de parto e do parto",2861,0.88
Causa_Morte,SÃO PAULO,Glaucoma,1,0.0
Causa_Morte,SÃO PAULO,Gravidez que termina em aborto,20,0.01
Causa_Morte,SÃO PAULO,Helmintíases,63,0.02
Causa_Morte,SÃO PAULO,Hepatite viral,366,0.11
Causa_Morte,SÃO PAULO,Hérnias,685,0.21
Causa_Morte,SÃO PAULO,Infecções agudas das vias aéreas superiores,84,0.03
Causa_Morte,SÃO PAULO,Infecções da pele e do tecido subcutâneo,1396,0.43
Causa_Morte,SÃO PAULO,Infecções de transmissão predominantemente sexual,74,0.02
Causa_Morte,SÃO PAULO,Infecções específicas do período perinatal,513,0.16
Causa_Morte,SÃO PAULO,Infecções virais caracterizadas por lesões de pele e mucosas,67,0.02
Causa_Morte,SÃO PAULO,Infecções virais do sistema nervoso central,104,0.03
Causa_Morte,SÃO PAULO,Influenza [gripe] e pneumonia,22975,7.06
Causa_Morte,SÃO PAULO,Insuficiência renal,3718,1.14
Causa_Morte,SÃO PAULO,Intervenções legais e operações de guerra,104,0.03
Causa_Morte,SÃO PAULO,Lesões autoprovocadas intencionalmente,2613,0.8
Causa_Morte,SÃO PAULO,Malformações congênitas do aparelho circulatório,748,0.23
Causa_Morte,SÃO PAULO,Malformações congênitas do aparelho respiratório,166,0.05
Causa_Morte,SÃO PAULO,Malformações congênitas do aparelho urinário,116,0.04
Causa_Morte,SÃO PAULO,Malformações congênitas do sistema nervoso,302,0.09
Causa_Morte,SÃO PAULO,Malformações congênitas dos órgãos genitais,3,0.0
Causa_Morte,SÃO PAULO,Malformações e deformidades congênitas do sistema osteomuscular,125,0.04
Causa_Morte,SÃO PAULO,Micoses,114,0.04
Causa_Morte,SÃO PAULO,Neoplasias [tumores] benignas(os),200,0.06
Causa_Morte,SÃO PAULO,Neoplasias [tumores] de comportamento incerto ou desconhecido,1094,0.34
Causa_Morte,SÃO PAULO,Neoplasias [tumores] in situ,27,0.01
Causa_Morte,SÃO PAULO,Neoplasias [tumores] malignas(os),58265,17.91
Causa_Morte,SÃO PAULO,Obesidade e outras formas de hiperalimentação,814,0.25
Causa_Morte,SÃO PAULO,Osteopatias e condropatias,450,0.14
Causa_Morte,SÃO PAULO,Outras afecções da pele e do tecido subcutâneo,975,0.3
Causa_Morte,SÃO PAULO,Outras afecções obstétricas não classificadas em outra parte,104,0.03
Causa_Morte,SÃO PAULO,Outras deficiências nutricionais,24,0.01
Causa_Morte,SÃO PAULO,Outras doenças bacterianas,6125,1.88
Causa_Morte,SÃO PAULO,Outras doenças causadas por clamídias,1,0.0
Causa_Morte,SÃO PAULO,Outras doenças da pleura,541,0.17
Causa_Morte,SÃO PAULO,Outras doenças das vias aéreas superiores,90,0.03
Causa_Morte,SÃO PAULO,Outras doenças degenerativas do sistema nervoso,7838,2.41
Causa_Morte,SÃO PAULO,Outras doenças do aparelho digestivo,1810,0.56
Causa_Morte,SÃO PAULO,Outras doenças do aparelho respiratório,1843,0.57
Causa_Morte,SÃO PAULO,Outras doenças do aparelho urinário,9025,2.77
Causa_Morte,SÃO PAULO,Outras doenças do sangue e dos órgãos hematopoéticos,208,0.06
Causa_Morte,SÃO PAULO,Outras doenças dos intestinos,3869,1.19
Causa_Morte,SÃO PAULO,Outras doenças infecciosas,11,0.0
Causa_Morte,SÃO PAULO,Outras doenças por vírus,3079,0.95
Causa_Morte,SÃO PAULO,Outras doenças respiratórias que afetam principalmente o interstício,2027,0.62
Causa_Morte,SÃO PAULO,Outras formas de doença do coração,18264,5.61
Causa_Morte,SÃO PAULO,Outras infecções agudas das vias aéreas inferiores,214,0.07
Causa_Morte,SÃO PAULO,Outras malformações congênitas,364,0.11
Causa_Morte,SÃO PAULO,Outras malformações congênitas do aparelho digestivo,107,0.03
Causa_Morte,SÃO PAULO,Outros transtornos da regulação da glicose e da secreção pancreática interna,93,0.03
Causa_Morte,SÃO PAULO,Outros transtornos do rim e do ureter,148,0.05
Causa_Morte,SÃO PAULO,Outros transtornos do sistema nervoso,1007,0.31
Causa_Morte,SÃO PAULO,Outros transtornos do sistema osteomuscular e do tecido conjuntivo,1,0.0
Causa_Morte,SÃO PAULO,Outros transtornos maternos relacionados predominantemente com a gravidez,10,0.0
Causa_Morte,SÃO PAULO,Outros transtornos originados no período perinatal,913,0.28
Causa_Morte,SÃO PAULO,"Outros transtornos, e os não especificados do aparelho circulatório",78,0.02
Causa_Morte,SÃO PAULO,Paralisia cerebral e outras síndromes paralíticas,355,0.11
Causa_Morte,SÃO PAULO,"Pediculose, acaríase e outras infestações",18,0.01
Causa_Morte,SÃO PAULO,Polineuropatias e outros transtornos do sistema nervoso periférico,133,0.04
Causa_Morte,SÃO PAULO,Retardo mental,24,0.01
Causa_Morte,SÃO PAULO,Rickettsioses,24,0.01
Causa_Morte,SÃO PAULO,Seqüelas de causas externas de morbidade e de mortalidade,89,0.03
Causa_Morte,SÃO PAULO,Seqüelas de doenças infecciosas e parasitárias,126,0.04
Causa_Morte,SÃO PAULO,Sintomas e sinais gerais,1438,0.44
Causa_Morte,SÃO PAULO,Sintomas e sinais relativos ao aparelho circulatório e respiratório,580,0.18
Causa_Morte,SÃO PAULO,Sintomas e sinais relativos ao aparelho digestivo e ao abdome,193,0.06
Causa_Morte,SÃO PAULO,Sintomas e sinais relativos ao aparelho urinário,2,0.0
Causa_Morte,SÃO PAULO,Sintomas e sinais relativos aos sistemas nervoso e osteomuscular,2,0.0
Causa_Morte,SÃO PAULO,"Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento",3,0.0
Causa_Morte,SÃO PAULO,Sintomas e sinais relativos à pele e ao tecido subcutâneo,16,0.0
Causa_Morte,SÃO PAULO,Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos,11,0.0
Causa_Morte,SÃO PAULO,Transtorno mental não especificado,6,0.0
Causa_Morte,SÃO PAULO,Transtornos da glândula tireóide,251,0.08
Causa_Morte,SÃO PAULO,"Transtornos da pálpebra, do aparelho lacrimal e da órbita",2,0.0
Causa_Morte,SÃO PAULO,"Transtornos da vesícula biliar, das vias biliares e do pâncreas",2609,0.8
Causa_Morte,SÃO PAULO,Transtornos de outras glândulas endócrinas,42,0.01
Causa_Morte,SÃO PAULO,Transtornos do aparelho digestivo do feto ou do recém-nascido,175,0.05
Causa_Morte,SÃO PAULO,Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência,1,0.0
Causa_Morte,SÃO PAULO,Transtornos do desenvolvimento psicológico,15,0.0
Causa_Morte,SÃO PAULO,Transtornos do humor [afetivos],107,0.03
Causa_Morte,SÃO PAULO,Transtornos do humor vítreo e do globo ocular,1,0.0
Causa_Morte,SÃO PAULO,"Transtornos dos nervos, das raízes e dos plexos nervosos",2,0.0
Causa_Morte,SÃO PAULO,Transtornos dos tecidos moles,454,0.14
Causa_Morte,SÃO PAULO,Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido,77,0.02
Causa_Morte,SÃO PAULO,Transtornos episódicos e paroxísticos,837,0.26
Causa_Morte,SÃO PAULO,Transtornos hemorrágicos e hematológicos do feto e do recém-nascido,127,0.04
Causa_Morte,SÃO PAULO,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,1265,0.39
Causa_Morte,SÃO PAULO,"Transtornos mentais orgânicos, inclusive os sintomáticos",1923,0.59
Causa_Morte,SÃO PAULO,"Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes",15,0.0
Causa_Morte,SÃO PAULO,Transtornos não-inflamatórios do trato genital feminino,43,0.01
Causa_Morte,SÃO PAULO,Transtornos relacionados com a duração da gestação e com o crescimento fetal,371,0.11
Causa_Morte,SÃO PAULO,Transtornos respiratórios e cardiovasculares específicos do período perinatal,2381,0.73
Causa_Morte,SÃO PAULO,Traumatismo de parto,4,0.0
Causa_Morte,SÃO PAULO,Tuberculose,1244,0.38
Causa_Morte,SÃO PAULO,Urticária e eritema,30,0.01
Faixa_Etária,BAHIA,00_Menor_1_ano,2263,2.31
Faixa_Etária,BAHIA,01_0_a_14_anos,952,0.97
Faixa_Etária,BAHIA,02_15_a_29_anos,6445,6.58
Faixa_Etária,BAHIA,03_30_a_59_anos,22841,23.32
Faixa_Etária,BAHIA,04_60_a_79_anos,33710,34.42
Faixa_Etária,BAHIA,05_80_anos_ou_mais,27965,28.56
Faixa_Etária,BAHIA,06_Nao_Declarado,3754,3.83
Faixa_Etária,SANTA CATARINA,00_Menor_1_ano,835,1.79
Faixa_Etária,SANTA CATARINA,01_0_a_14_anos,329,0.7
Faixa_Etária,SANTA CATARINA,02_15_a_29_anos,1497,3.2
Faixa_Etária,SANTA CATARINA,03_30_a_59_anos,9955,21.3
Faixa_Etária,SANTA CATARINA,04_60_a_79_anos,19477,41.67
Faixa_Etária,SANTA CATARINA,05_80_anos_ou_mais,13696,29.3
Faixa_Etária,SANTA CATARINA,06_Nao_Declarado,957,2.05
Faixa_Etária,SÃO PAULO,00_Menor_1_ano,5676,1.74
Faixa_Etária,SÃO PAULO,01_0_a_14_anos,2172,0.67
Faixa_Etária,SÃO PAULO,02_15_a_29_anos,8619,2.65
Faixa_Etária,SÃO PAULO,03_30_a_59_anos,65664,20.19
Faixa_Etária,SÃO PAULO,04_60_a_79_anos,133413,41.01
Faixa_Etária,SÃO PAULO,05_80_anos_ou_mais,102801,31.6
Faixa_Etária,SÃO PAULO,06_Nao_Declarado,6939,2.13
Local_Ocorrência,BAHIA,Outros,97930,100.0
Local_Ocorrência,SANTA CATARINA,Outros,46746,100.0
Local_Ocorrência,SÃO PAULO,Outros,325284,100.0
Raça_Cor,BAHIA,Não Declarado,97930,100.0
Raça_Cor,SANTA CATARINA,Não Declarado,46746,100.0
Raça_Cor,SÃO PAULO,Não Declarado,325284,100.0
Sexo,BAHIA,Não Declarado,97930,100.0
Sexo,SANTA CATARINA,Não Declarado,46746,100.0
Sexo,SÃO PAULO,Não Declarado,325284,100.0
