UF_Ocorrencia,Grupo_Causa,Quantidade
BAHIA,Retardo mental,16
BAHIA,Febre reumática aguda,14
BAHIA,"Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério",13
BAHIA,Outras deficiências nutricionais,13
BAHIA,Infecções virais caracterizadas por lesões de pele e mucosas,12
BAHIA,Transtornos de outras glândulas endócrinas,11
BAHIA,Neoplasias [tumores] in situ,10
BAHIA,Urticária e eritema,10
BAHIA,"Doenças da cavidade oral, das glândulas salivares e dos maxilares",9
BAHIA,Gravidez que termina em aborto,9
BAHIA,Afecções bolhosas,8
BAHIA,Outros transtornos maternos relacionados predominantemente com a gravidez,8
BAHIA,Complicações relacionadas predominantemente com o puerpério,6
BAHIA,"Transtornos neuróticos, transtornos relacionados com o ""stress"" e transtornos somatoformes",6
BAHIA,Traumatismo de parto,6
BAHIA,Afecções pápulo-descamativas,5
BAHIA,"Pediculose, acaríase e outras infestações",5
BAHIA,Dermatite e eczema,4
BAHIA,"Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento",3
BAHIA,"Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico",3
BAHIA,Transtornos do desenvolvimento psicológico,3
BAHIA,Sintomas e sinais relativos à pele e ao tecido subcutâneo,3
BAHIA,Transtornos do humor vítreo e do globo ocular,2
BAHIA,"Transtornos dos nervos, das raízes e dos plexos nervosos",2
BAHIA,Doenças da mama,2
BAHIA,Outras doenças infecciosas,2
BAHIA,Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto,2
BAHIA,Sintomas e sinais relativos ao aparelho urinário,1
BAHIA,Sintomas e sinais relativos aos sistemas nervoso e osteomuscular,1
BAHIA,Outros transtornos do olho e anexos,1
BAHIA,"Transtornos da pálpebra, do aparelho lacrimal e da órbita",1
BAHIA,Afecções dos anexos da pele,1
BAHIA,Doenças do ouvido externo,1
BAHIA,Doenças do ouvido interno,1
BAHIA,Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência,1
BAHIA,Malformações congênitas dos órgãos genitais,1
BAHIA,"Achados anormais de exames de sangue, sem diagnóstico",1
BAHIA,Outras doenças por espiroquetas,1
SANTA CATARINA,Neoplasias [tumores] malignas(os),10043
SANTA CATARINA,Doenças isquêmicas do coração,3612
SANTA CATARINA,Doenças cerebrovasculares,3151
SANTA CATARINA,Acidentes,2728
SANTA CATARINA,Outras formas de doença do coração,2411
SANTA CATARINA,Diabetes mellitus,2297
SANTA CATARINA,Doenças crônicas das vias aéreas inferiores,2193
SANTA CATARINA,Influenza [gripe] e pneumonia,2177
SANTA CATARINA,Doenças hipertensivas,1948
SANTA CATARINA,Outras doenças degenerativas do sistema nervoso,1190
SANTA CATARINA,Causas mal definidas e desconhecidas de mortalidade,1008
SANTA CATARINA,Lesões autoprovocadas intencionalmente,918
SANTA CATARINA,Outras doenças do aparelho urinário,862
SANTA CATARINA,Outras doenças bacterianas,739
SANTA CATARINA,Doenças do fígado,717
SANTA CATARINA,"Doenças das artérias, das arteríolas e dos capilares",603
SANTA CATARINA,Agressões,591
SANTA CATARINA,Insuficiência renal,555
SANTA CATARINA,Outras doenças dos intestinos,490
SANTA CATARINA,"Feto e recém-nascido afetados por fatores maternos e por complicações da gravidez, do trabalho de parto e do parto",441
SANTA CATARINA,Doenças cardíaca pulmonar e da circulação pulmonar,423
SANTA CATARINA,Doença pelo vírus da imunodeficiência humana [HIV],373
SANTA CATARINA,"Transtornos da vesícula biliar, das vias biliares e do pâncreas",342
SANTA CATARINA,Outras doenças por vírus,340
SANTA CATARINA,Transtornos mentais e comportamentais devidos ao uso de substância psicoativa,304
SANTA CATARINA,Doenças extrapiramidais e transtornos dos movimentos,275
SANTA CATARINA,Distúrbios metabólicos,243
SANTA CATARINA,Transtornos respiratórios e cardiovasculares específicos do período perinatal,243
SANTA CATARINA,Doenças pulmonares devidas a agentes externos,242
SANTA CATARINA,Eventos (fatos) cuja intenção é indeterminada,223
SANTA CATARINA,Outras doenças do aparelho digestivo,223
SANTA CATARINA,Outros transtornos originados no período perinatal,207
SANTA CATARINA,"Doenças do esôfago, do estômago e do duodeno",201
SANTA CATARINA,Outras doenças respiratórias que afetam principalmente o interstício,193
SANTA CATARINA,Outras doenças do aparelho respiratório,188
SANTA CATARINA,Sintomas e sinais relativos ao aparelho circulatório e respiratório,163
SANTA CATARINA,Doenças infecciosas intestinais,151
SANTA CATARINA,Sintomas e sinais gerais,145
SANTA CATARINA,Obesidade e outras formas de hiperalimentação,133
SANTA CATARINA,Malformações congênitas do aparelho circulatório,129
SANTA CATARINA,Transtornos episódicos e paroxísticos,128
